City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,26.84,78,19,6.75,PF,1680378071
1,avarua,-21.2078,-159.775,28.03,78,75,2.06,CK,1680378072
2,hermanus,-34.4187,19.2345,17.11,83,0,3.96,ZA,1680378072
3,tilichiki,60.4667,166.1,-10.54,97,87,1.63,RU,1680378072
4,pemberton,50.3164,-122.8027,3.83,65,100,2.44,CA,1680378072
5,katsuura,35.1333,140.3,14.01,76,100,6.0,JP,1680378073
6,salalah,17.0151,54.0924,28.05,83,75,4.12,OM,1680378073
7,bourail,-21.5667,165.4833,24.47,88,12,0.82,NC,1680378074
8,mataura,-46.1927,168.8643,13.04,98,100,2.1,NZ,1680377495
9,rorvik,64.8621,11.2373,2.06,55,20,3.6,NO,1680378075
10,cidreira,-30.1811,-50.2056,21.73,61,89,6.23,BR,1680378075
11,macamic,48.7502,-78.9996,-6.8,83,100,8.09,CA,1680378075
12,barrow,71.2906,-156.7887,-16.99,100,100,2.06,US,1680378075
13,vaini,-21.2,-175.2,25.09,88,20,2.57,TO,1680378076
14,albany,42.6001,-73.9662,22.54,33,0,0.45,US,1680378055
15,longyearbyen,78.2186,15.6401,-12.09,72,75,4.63,SJ,1680377776
16,jamestown,42.097,-79.2353,8.62,91,100,7.72,US,1680378076
17,egvekinot,66.3167,-179.1667,-11.22,93,100,0.66,RU,1680378077
18,thompson,55.7435,-97.8558,-7.91,38,40,3.09,CA,1680378077
19,ushuaia,-54.8,-68.3,8.81,61,0,3.09,AR,1680378077
20,castro,-24.7911,-50.0119,23.8,72,61,1.01,BR,1680378077
21,oranjemund,-28.55,16.4333,16.55,94,1,3.09,NA,1680378077
22,butaritari,3.0707,172.7902,27.45,75,100,5.67,KI,1680378078
23,trinidad,-14.8333,-64.9,24.99,94,75,4.12,BO,1680378078
24,dikson,73.5069,80.5464,-11.95,98,100,3.38,RU,1680378078
25,micheldorf,46.9222,14.4405,8.89,92,96,2.31,AT,1680378079
26,port alfred,-33.5906,26.891,20.1,88,27,0.45,ZA,1680378079
27,port lincoln,-34.7333,135.8667,14.12,66,20,4.7,AU,1680378079
28,rikitea,-23.1203,-134.9692,26.74,81,41,6.69,PF,1680378054
29,new norfolk,-42.7826,147.0587,12.18,88,100,0.45,AU,1680378080
30,provideniya,64.3833,-173.3,-6.87,95,97,4.34,RU,1680378080
31,gizo,-8.103,156.8419,27.25,74,100,0.86,SB,1680378080
32,busselton,-33.65,115.3333,14.38,90,1,3.49,AU,1680378080
33,faanui,-16.4833,-151.75,27.93,72,1,3.29,PF,1680378081
34,hobart,-42.8794,147.3294,12.37,80,100,4.12,AU,1680378081
35,yellowknife,62.456,-114.3525,-12.71,66,100,10.29,CA,1680377934
36,segezha,63.7415,34.3222,-11.39,99,66,1.92,RU,1680378021
37,krasnoye,49.9145,24.6134,7.83,89,97,2.37,UA,1680378082
38,mackay,-21.15,149.2,24.27,92,62,1.83,AU,1680377855
39,panguna,-6.3164,155.4848,19.48,93,100,0.82,PG,1680378082
40,alihe,50.5667,123.7167,6.7,89,100,1.78,CN,1680378083
41,borsec,46.95,25.5667,2.33,94,100,1.27,RO,1680378083
42,naze,28.3667,129.4833,17.51,88,16,6.73,JP,1680378083
43,cape town,-33.9258,18.4232,18.84,82,0,6.69,ZA,1680377973
44,georgetown,5.4112,100.3354,27.96,89,20,1.03,MY,1680378001
45,chokurdakh,70.6333,147.9167,-34.2,100,98,3.12,RU,1680378084
46,san pedro,14.35,121.0167,26.86,84,20,0.51,PH,1680378084
47,bredasdorp,-34.5322,20.0403,16.71,95,0,2.32,ZA,1680378084
48,ahipara,-35.1667,173.1667,17.91,92,100,0.45,NZ,1680378084
49,ribeira grande,38.5167,-28.7,18.22,82,20,10.28,PT,1680378085
50,cururupu,-1.8283,-44.8683,23.01,99,100,0.88,BR,1680377842
51,puerto ayora,-0.7393,-90.3518,30.98,85,83,3.13,EC,1680378085
52,niamey,13.5137,2.1098,36.16,6,66,3.6,NE,1680378086
53,abu samrah,35.3029,37.1841,10.19,80,56,3.97,SY,1680378086
54,kaitangata,-46.2817,169.8464,12.74,92,68,3.4,NZ,1680378086
55,bluff,-46.6,168.3333,13.22,80,100,8.23,NZ,1680378086
56,khatanga,71.9667,102.5,-7.0,93,100,9.31,RU,1680378086
57,saskylakh,71.9167,114.0833,-9.69,93,100,7.42,RU,1680378087
58,omboue,-1.5746,9.2618,24.13,90,98,2.08,GA,1680378087
59,hue,16.4667,107.6,25.06,94,40,2.06,VN,1680378087
60,treinta y tres,-33.2333,-54.3833,23.78,35,0,4.98,UY,1680378087
61,grindavik,63.8424,-22.4338,4.26,87,75,13.89,IS,1680378088
62,esperance,-33.8667,121.9,17.95,84,100,5.76,AU,1680377924
63,golubitskaya,45.3222,37.2822,8.23,66,96,3.85,RU,1680378088
64,chumikan,54.7183,135.315,-2.42,95,99,1.67,RU,1680378088
65,severo-kurilsk,50.6789,156.125,-0.04,94,28,7.0,RU,1680377938
66,bethel,41.3712,-73.414,22.79,70,75,3.09,US,1680378089
67,jalingo,8.8833,11.3667,30.33,14,27,0.06,NG,1680378089
68,sao joao da barra,-21.6403,-41.0511,31.05,83,75,3.6,BR,1680377885
69,arraial do cabo,-22.9661,-42.0278,27.92,74,20,6.69,BR,1680378090
70,jieshi,22.8134,115.8257,20.34,89,97,4.4,CN,1680378090
71,portland,45.5234,-122.6762,9.51,84,100,6.17,US,1680377934
72,misratah,32.3754,15.0925,21.56,41,88,1.24,LY,1680378091
73,kontagora,10.3999,5.4695,30.86,11,9,0.29,NG,1680378092
74,biltine,14.5333,20.9167,28.13,12,80,4.72,TD,1680378092
75,anadyr,64.75,177.4833,-15.72,84,0,12.0,RU,1680377837
76,urcos,-13.6861,-71.6228,19.94,64,98,2.99,PE,1680378092
77,isla mujeres,21.2311,-86.731,30.09,66,2,5.55,MX,1680378093
78,carballo,43.213,-8.691,12.15,86,11,1.66,ES,1680378093
79,yambio,4.5721,28.3955,23.36,55,82,0.94,SS,1680378093
80,allapalli,19.4167,80.0667,27.22,59,87,1.73,IN,1680378094
81,qaanaaq,77.484,-69.3632,-23.32,74,7,1.5,GL,1680378094
82,kapaa,22.0752,-159.319,22.18,86,100,2.57,US,1680378094
83,la paz,-16.5,-68.15,15.99,41,75,7.72,BO,1680377813
84,borisoglebsk,51.3671,42.0849,5.31,85,41,1.86,RU,1680378095
85,srednekolymsk,67.45,153.6833,-25.62,99,100,2.9,RU,1680378095
86,airai,-8.9266,125.4092,15.38,95,100,0.8,TL,1680378095
87,punta arenas,-53.15,-70.9167,12.06,54,20,11.32,CL,1680377875
88,hithadhoo,-0.6,73.0833,27.8,71,100,2.22,MV,1680378096
89,saint-paul-les-dax,43.7272,-1.0516,12.29,84,53,4.12,FR,1680378096
90,nicoya,10.1483,-85.452,33.86,38,61,6.56,CR,1680377566
91,buenaventura,3.8801,-77.0312,29.04,74,65,2.67,CO,1680378094
92,neuquen,-38.9516,-68.0591,26.94,26,0,1.54,AR,1680378096
93,hobyo,5.3505,48.5268,28.69,75,93,6.1,SO,1680378096
94,muravlenko,63.7898,74.523,1.11,85,100,10.97,RU,1680378097
95,klaksvik,62.2266,-6.589,6.51,90,98,8.86,FO,1680378097
96,lakselv,70.0513,24.9718,-3.1,74,100,7.2,NO,1680378097
97,motygino,58.1831,94.7592,-22.19,100,28,0.5,RU,1680378097
98,port elizabeth,-33.918,25.5701,20.16,89,0,4.63,ZA,1680378097
99,stromness,58.965,-3.296,4.93,79,20,4.47,GB,1680378097
100,clyde river,70.4692,-68.5914,-21.87,77,20,5.66,CA,1680378033
101,alta floresta,-9.8756,-56.0861,25.9,94,40,1.03,BR,1680378098
102,maarianhamina,60.0973,19.9348,1.01,69,0,3.6,AX,1680378098
103,svetlogorsk,52.6333,29.7333,8.37,95,100,5.27,BY,1680378099
104,kruisfontein,-34.0033,24.7314,15.42,69,1,2.53,ZA,1680378099
105,truro,50.2653,-5.0544,12.13,83,75,7.2,GB,1680378099
106,san quintin,30.4833,-115.95,16.55,64,0,6.54,MX,1680378100
107,yulara,-25.2406,130.9889,14.88,79,20,3.08,AU,1680378100
108,tabas,33.5959,56.9244,19.12,12,79,4.12,IR,1680378101
109,faya,18.3851,42.4509,16.06,78,94,3.02,SA,1680378101
110,saint george,37.1041,-113.5841,16.91,33,0,2.24,US,1680378102
111,mahajanga,-15.7167,46.3167,28.01,83,20,1.54,MG,1680378102
112,panama city,8.9936,-79.5197,34.97,44,20,6.69,PA,1680378034
113,pangnirtung,66.1451,-65.7125,-11.0,48,75,0.0,CA,1680378102
114,tasiilaq,65.6145,-37.6368,-0.91,85,100,1.62,GL,1680378103
115,college,64.8569,-147.8028,-5.52,59,75,0.0,US,1680377935
116,san andres,12.5847,-81.7006,30.01,66,100,8.23,CO,1680378043
117,karratha,-20.7377,116.8463,27.36,73,79,2.31,AU,1680378103
118,hilo,19.7297,-155.09,27.93,77,75,2.06,US,1680378033
119,acari,-15.4311,-74.6158,27.87,70,73,4.61,PE,1680378104
120,norman wells,65.282,-126.8329,-11.98,72,100,1.03,CA,1680378104
121,farafangana,-22.8167,47.8333,24.64,82,100,0.8,MG,1680378104
122,zakamensk,50.3741,103.2863,-13.67,59,100,4.29,RU,1680378104
123,lagos,6.5833,3.75,29.18,79,90,2.32,NG,1680378058
124,marsh harbour,26.5412,-77.0636,24.9,75,28,6.59,BS,1680378105
125,daoukro,7.0591,-3.9631,28.17,59,100,1.02,CI,1680378105
126,arman,59.7,150.1667,-3.32,97,100,1.15,RU,1680378105
127,gandu,-13.7439,-39.4867,27.11,69,5,2.95,BR,1680377963
128,litovko,49.2361,135.1742,1.67,73,99,0.17,RU,1680378105
129,campbell river,50.0163,-125.2446,8.66,65,75,2.57,CA,1680378049
130,upernavik,72.7868,-56.1549,-26.87,96,39,4.97,GL,1680378106
131,montepuez,-13.1256,38.9997,20.62,95,100,1.99,MZ,1680378106
132,luau,-10.7073,22.2247,18.12,97,94,1.63,AO,1680378106
133,jalu,29.0331,21.5482,21.53,16,0,3.07,LY,1680378106
134,adrar,20.5022,-10.0711,28.28,6,0,4.09,MR,1680378106
135,lasa,46.6166,10.7002,8.49,88,100,2.05,IT,1680378107
136,tuatapere,-46.1333,167.6833,10.5,87,100,5.77,NZ,1680378107
137,buraydah,26.326,43.975,20.25,17,65,3.96,SA,1680378107
138,sioux lookout,50.1001,-91.917,0.04,29,20,3.09,CA,1680378107
139,ust-ilimsk,58.0006,102.6619,-19.14,100,55,0.71,RU,1680378108
140,hamilton,39.1834,-84.5333,7.71,63,100,13.89,US,1680378030
141,dulovo,43.8167,27.15,11.42,94,100,7.15,BG,1680378108
142,uruzgan,32.8333,66.0,13.11,48,6,2.09,AF,1680378108
143,morristown,36.214,-83.2949,25.39,19,0,15.43,US,1680378079
144,sur,22.5667,59.5289,26.68,62,5,4.32,OM,1680378109
145,mogadishu,2.0371,45.3438,27.7,75,18,6.51,SO,1680378028
146,beira,-19.8436,34.8389,26.05,83,20,3.6,MZ,1680378109
147,bhakkar,31.6253,71.0657,19.63,71,24,2.42,PK,1680378109
148,daru,-9.0763,143.2092,25.8,86,37,2.15,PG,1680378110
149,kununurra,-15.7667,128.7333,24.99,88,5,1.54,AU,1680378110
150,aringay,16.4,120.4,25.35,83,100,1.85,PH,1680378110
151,sao filipe,14.8961,-24.4956,26.59,57,0,1.9,CV,1680378110
152,gat,31.61,34.7642,14.34,100,0,1.97,IL,1680378110
153,saint-philippe,-21.3585,55.7679,25.77,82,45,5.25,RE,1680378111
154,golden,39.7555,-105.2211,18.72,18,20,3.6,US,1680377973
155,pecos,31.4229,-103.4932,24.58,6,0,0.0,US,1680378111
156,maragogi,-9.0122,-35.2225,26.44,78,71,3.35,BR,1680377996
157,mlonggo,-6.5333,110.7,24.85,81,100,0.39,ID,1680378113
158,dwarahat,29.7833,79.4333,8.93,90,94,1.16,IN,1680378113
159,eha amufu,6.6592,7.7596,29.23,56,100,3.42,NG,1680378114
160,margate,51.3813,1.3862,8.83,87,100,4.02,GB,1680378114
161,derzhavinsk,51.1,66.3167,1.16,58,0,7.22,KZ,1680378114
